ID;Player;Age;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;Pos;3P Dependency;2P Dependency;FT Dependency;PTS/MP;AST/MP;TRB/MP;STL/MP;BLK/MP;AST/TOV;Rebound Ratio;PTS/FGA;FT Rate;Usage Rate;PIE
65;DaQuan Jeffries;25.5;3.0;0.0;3.8;0.4;1.0;0.2;0.2;0.6;0.2;0.2;0.4;0.2;0.2;0.0;0.0;0.0;0.2;0.4;0.5;0.0;0.2;0.0;1.0;0.8;1.0;SG;0.6;0.4;0.0;0.263;0.0;0.132;0.053;0.0;0.0;0.2;1.0;0.0;0.526;0.2
66;Dalano Banton;22.0;4.0;0.0;2.0;0.5;0.5;1.0;0.0;0.0;0.0;0.5;0.5;1.0;1.0;0.8;1.5;0.5;0.5;0.0;0.5;0.3;0.3;0.0;0.3;0.0;1.8;PG;0.0;0.556;0.444;0.9;0.15;0.25;0.15;0.0;1.0;0.125;3.6;3.0;0.73;1.9
67;Damian Jones;28.0;2.0;0.0;4.5;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.5;1.0;1.0;0.0;0.5;1.0;0.0;1.0;C;0.0;0.0;0.0;0.222;0.222;0.222;0.0;0.111;1.0;0.5;1.0;0.0;0.444;1.5
68;Damian Lillard;33.0;4.0;4.0;39.0;8.5;20.3;0.4;5.0;12.0;0.4;3.5;8.3;0.4;0.5;9.3;9.5;1.0;0.5;2.8;3.3;5.0;1.0;0.0;2.3;2.0;31.3;PG;0.479;0.224;0.297;0.803;0.128;0.085;0.026;0.0;2.174;0.825;1.542;0.468;0.687;26.3
69;Damion Lee;29.5;12.0;0.0;9.4;0.8;2.3;0.3;0.4;1.4;0.2;0.5;0.8;0.6;0.4;0.2;0.2;0.8;0.4;1.1;1.5;0.5;0.2;0.0;0.2;0.8;2.0;SG;0.6;0.5;0.1;0.213;0.053;0.16;0.021;0.0;2.5;0.125;0.87;0.087;0.275;2.5
70;Daniel Gafford;25.0;22.0;22.0;20.2;3.5;5.6;0.6;0.0;0.0;0.0;3.5;5.6;0.6;0.6;1.9;3.0;0.6;1.9;3.6;5.5;0.7;0.3;1.5;0.9;1.7;9.0;PF;0.0;0.778;0.211;0.446;0.035;0.272;0.015;0.074;0.778;0.25;1.607;0.536;0.387;12.9
71;Daniel Theis;30.0;8.5;2.5;8.2;1.4;2.1;0.8;0.6;1.0;0.6;0.8;1.2;0.4;1.1;0.2;0.2;0.4;0.4;1.7;2.2;0.4;0.2;0.2;0.4;0.8;3.6;C;0.5;0.444;0.056;0.439;0.049;0.268;0.024;0.024;1.0;0.247;1.714;0.095;0.316;5.4
72;Danilo Gallinari;34.0;4.0;1.5;17.4;2.4;5.8;0.4;0.4;1.8;0.1;2.0;4.0;0.6;0.5;1.6;1.8;0.9;0.4;3.2;3.6;0.8;0.1;0.0;0.6;0.6;7.0;PF;0.171;0.571;0.229;0.402;0.046;0.207;0.006;0.0;1.333;0.9;1.207;0.31;0.413;7.3
73;Danny Green;34.5;8.0;6.0;18.3;1.6;4.4;0.3;1.4;3.6;0.3;0.2;0.7;0.2;0.4;0.0;0.0;0.0;0.6;1.8;2.4;0.6;0.8;0.3;0.8;1.8;4.7;SF;0.894;0.085;0.0;0.257;0.033;0.131;0.044;0.016;0.75;0.3;1.068;0.0;0.284;5.2
74;Dante Exum;28.0;21.0;0.0;6.9;0.8;2.1;0.4;0.3;1.0;0.4;0.4;1.1;0.4;0.4;0.2;0.3;0.7;0.1;0.7;0.8;0.6;0.1;0.0;0.2;0.4;2.0;PG;0.45;0.4;0.1;0.29;0.087;0.116;0.014;0.0;3.0;0.038;0.952;0.143;0.352;1.9
75;Danuel House Jr.;28.5;6.5;0.0;12.4;1.4;3.4;0.4;0.2;1.5;0.2;1.2;1.8;0.7;0.5;0.6;0.7;0.9;0.2;2.1;2.2;0.4;0.0;0.1;0.6;0.9;3.6;SF;0.167;0.667;0.167;0.29;0.032;0.177;0.0;0.008;0.667;0.354;1.059;0.206;0.347;3.7
76;Darius Garland;23.5;8.5;8.5;36.9;6.6;15.2;0.4;2.2;6.1;0.4;4.3;9.0;0.5;0.5;2.8;3.4;0.8;0.0;2.6;2.7;5.4;1.4;0.2;3.0;3.1;18.2;PG;0.363;0.473;0.154;0.493;0.146;0.073;0.038;0.005;1.8;0.306;1.197;0.224;0.534;15.6
77;David Duke Jr.;23.0;1.0;0.0;5.0;1.0;3.0;0.3;0.0;1.0;0.0;1.0;2.0;0.5;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;2.0;SG;0.0;1.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.667;0.0;0.8;-1.0
78;David Roddy;21.5;4.0;0.0;7.1;0.6;2.4;0.1;0.5;1.6;0.2;0.2;0.8;0.1;0.2;0.1;0.1;0.5;0.4;1.1;1.4;0.4;0.0;0.2;0.1;0.5;1.9;PF;0.789;0.211;0.053;0.268;0.056;0.197;0.0;0.028;4.0;0.375;0.792;0.042;0.358;2.1
79;Davion Mitchell;24.0;7.0;0.0;20.0;2.7;6.6;0.4;1.0;3.9;0.3;1.7;2.7;0.6;0.5;0.7;0.9;0.8;0.4;0.9;1.3;1.7;0.9;0.1;0.9;1.0;7.1;PG;0.423;0.479;0.099;0.355;0.085;0.065;0.045;0.005;1.889;0.186;1.076;0.136;0.395;6.1
80;Davis Bertans;29.0;18.0;0.0;10.7;1.2;3.1;0.4;1.1;2.8;0.4;0.2;0.2;0.8;0.6;0.6;0.7;0.8;0.2;1.2;1.4;0.3;0.4;0.1;0.2;1.4;4.1;PF;0.805;0.098;0.146;0.383;0.028;0.131;0.037;0.009;1.5;0.078;1.323;0.226;0.337;4.1
81;Day'Ron Sharpe;20.5;1.5;0.0;5.0;0.5;0.8;0.3;0.0;0.0;0.0;0.5;0.8;0.3;0.3;0.5;0.5;0.5;0.5;1.0;1.5;1.2;0.0;0.2;0.5;0.8;1.5;PF;0.0;0.667;0.333;0.3;0.24;0.3;0.0;0.04;2.4;1.0;1.875;0.625;0.304;3.6
82;De'Aaron Fox;25.0;7.0;7.0;38.6;10.0;23.6;0.4;3.0;9.0;0.3;7.0;14.6;0.5;0.5;4.4;5.9;0.8;1.7;3.7;5.4;7.7;2.1;0.6;4.0;3.3;27.4;PG;0.328;0.511;0.161;0.71;0.199;0.14;0.054;0.016;1.925;0.771;1.161;0.25;0.782;24.1
83;De'Andre Hunter;24.5;5.5;5.5;36.2;7.2;14.1;0.5;2.3;5.8;0.4;4.8;8.3;0.6;0.6;2.2;2.8;0.8;0.8;4.0;4.8;0.9;0.8;0.2;1.8;3.6;19.0;SF;0.363;0.505;0.116;0.525;0.025;0.133;0.022;0.006;0.5;0.873;1.348;0.199;0.473;16.4
84;De'Anthony Melton;24.0;7.3;0.0;16.3;1.6;5.3;0.2;0.9;3.6;0.2;0.7;1.7;0.3;0.3;0.3;0.4;0.5;0.7;1.7;2.5;1.4;0.7;0.4;0.7;1.2;4.5;SG;0.6;0.311;0.067;0.276;0.086;0.153;0.043;0.025;2.0;0.329;0.849;0.075;0.379;4.9
85;DeAndre Jordan;34.0;3.0;0.7;6.8;0.9;1.2;0.7;0.0;0.0;0.0;0.9;1.2;0.7;0.7;0.4;0.5;0.5;0.3;1.3;1.6;0.2;0.2;0.5;0.4;1.3;2.2;C;0.0;0.818;0.182;0.324;0.029;0.235;0.029;0.074;0.5;0.533;1.833;0.417;0.268;3.9
86;DeMar DeRozan;32.0;5.0;5.0;40.6;7.8;19.0;0.4;0.0;1.8;0.0;7.8;17.2;0.5;0.4;5.2;6.0;0.9;0.2;5.2;5.4;4.8;1.8;0.4;2.2;2.4;20.8;PF;0.0;0.75;0.25;0.512;0.118;0.133;0.044;0.01;2.182;1.08;1.095;0.316;0.587;19.0
87;DeMarcus Cousins;31.0;5.0;0.0;11.4;3.8;5.8;0.7;0.8;1.2;0.7;3.0;4.6;0.7;0.7;2.2;3.0;0.7;0.6;2.8;3.4;1.2;0.6;0.2;1.4;1.8;10.6;C;0.226;0.566;0.208;0.93;0.105;0.298;0.053;0.018;0.857;0.68;1.828;0.517;0.747;11.8
88;Dean Wade;26.5;2.5;0.5;13.2;0.6;2.4;0.2;0.5;1.9;0.2;0.2;0.5;0.2;0.2;0.5;0.5;0.5;0.2;1.6;1.8;0.8;0.2;0.4;0.4;0.6;2.4;PF;0.625;0.167;0.208;0.182;0.061;0.136;0.015;0.03;2.0;0.72;1.0;0.208;0.229;3.4
89;Deandre Ayton;23.5;11.5;11.5;31.2;7.1;11.8;0.6;0.1;0.2;0.2;7.0;11.7;0.6;0.6;1.4;2.4;0.6;2.7;6.6;9.3;1.4;0.5;0.8;1.6;3.0;15.6;C;0.019;0.897;0.09;0.5;0.045;0.298;0.016;0.026;0.875;0.809;1.322;0.203;0.463;20.3
90;Dejounte Murray;26.0;5.0;5.0;38.0;9.2;20.6;0.4;2.8;7.4;0.4;6.4;13.2;0.5;0.5;1.8;1.8;1.0;1.8;5.4;7.2;6.8;2.0;0.2;2.0;1.4;23.0;SG;0.365;0.557;0.078;0.605;0.179;0.189;0.053;0.005;3.4;1.44;1.117;0.087;0.616;25.8
91;Delon Wright;30.0;4.5;0.5;27.1;3.0;5.4;0.6;1.2;2.6;0.5;1.8;2.8;0.6;0.7;0.8;1.2;0.8;1.4;2.6;3.9;2.3;0.9;0.2;0.5;0.8;8.1;SG;0.444;0.444;0.099;0.299;0.085;0.144;0.033;0.007;4.6;0.889;1.5;0.222;0.237;12.2
92;Dennis Schröder;29.0;16.0;3.0;26.1;2.6;6.4;0.4;0.8;2.4;0.3;1.8;4.0;0.4;0.5;1.4;1.8;0.8;0.2;1.8;1.9;2.9;1.0;0.2;1.3;2.5;7.4;PG;0.324;0.486;0.189;0.284;0.111;0.073;0.038;0.008;2.231;0.125;1.156;0.281;0.325;8.0
93;Dereck Lively II;19.0;21.0;0.0;22.0;3.0;4.5;0.7;0.0;0.0;1.0;3.0;4.5;0.7;0.7;1.7;2.9;0.6;2.7;4.7;7.4;1.3;0.4;1.0;1.0;2.3;7.9;C;0.0;0.759;0.215;0.359;0.059;0.336;0.018;0.045;1.3;0.352;1.756;0.644;0.308;14.3
94;Derrick Jones Jr.;25.0;13.5;11.0;20.6;2.4;5.4;0.4;0.8;2.6;0.3;1.6;2.8;0.6;0.5;0.7;1.0;0.7;1.0;1.4;2.4;0.8;0.4;0.5;0.7;2.0;6.4;PF;0.375;0.5;0.109;0.311;0.039;0.117;0.019;0.024;1.143;0.178;1.185;0.185;0.317;6.5
95;Derrick Rose;34.0;1.0;0.0;3.0;0.0;4.0;0.0;0.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;PG;0.0;0.0;0.0;0.333;0.333;0.0;0.0;0.0;1.0;0.0;0.25;0.0;1.667;-3.0
96;Derrick White;28.0;20.7;12.7;30.2;4.4;9.9;0.4;2.3;5.9;0.4;2.1;4.0;0.5;0.6;1.7;2.0;0.9;0.7;2.8;3.4;3.0;0.8;0.9;1.0;2.1;12.9;SG;0.535;0.326;0.132;0.427;0.099;0.113;0.026;0.03;3.0;0.169;1.303;0.202;0.39;14.3
97;Desmond Bane;23.5;9.0;9.0;37.1;7.2;16.3;0.4;3.2;7.8;0.4;4.2;8.4;0.5;0.6;3.5;3.8;0.9;0.8;4.0;4.9;2.7;0.7;0.4;2.0;2.6;21.2;SF;0.453;0.396;0.165;0.571;0.073;0.132;0.019;0.011;1.35;0.533;1.301;0.233;0.538;18.4
98;Devin Booker;26.0;8.3;8.3;39.9;9.6;18.6;0.5;2.5;5.7;0.4;7.1;12.9;0.5;0.6;6.6;7.2;0.9;0.8;3.5;4.3;5.9;1.3;0.5;3.0;3.5;28.2;SG;0.266;0.504;0.234;0.707;0.148;0.108;0.033;0.013;1.967;0.518;1.516;0.387;0.621;27.6
99;Devonte' Graham;26.0;6.0;0.0;10.0;1.0;3.0;0.3;0.8;2.3;0.4;0.2;0.7;0.2;0.5;1.2;1.3;0.9;0.3;1.2;1.5;0.7;0.2;0.2;0.7;0.5;4.0;PG;0.6;0.1;0.3;0.4;0.07;0.15;0.02;0.02;1.0;0.25;1.333;0.433;0.427;3.8
100;Dewayne Dedmon;32.5;7.5;0.0;7.4;0.8;2.1;0.2;0.0;0.8;0.0;0.7;1.2;0.3;0.2;0.4;0.4;0.4;0.6;1.4;2.0;0.2;0.0;0.1;0.8;1.8;1.9;C;0.0;0.737;0.211;0.257;0.027;0.27;0.0;0.014;0.25;0.267;0.905;0.19;0.416;2.1
101;Dillon Brooks;26.5;8.5;8.5;29.2;4.8;14.2;0.3;2.0;6.8;0.3;2.8;7.4;0.4;0.4;1.2;1.8;0.7;0.6;2.2;2.8;2.2;0.6;0.2;1.6;3.3;12.6;SF;0.476;0.444;0.095;0.432;0.075;0.096;0.021;0.007;1.375;0.329;0.887;0.127;0.568;6.8
102;Domantas Sabonis;26.0;7.0;7.0;34.7;7.0;14.1;0.5;0.1;0.7;0.2;6.9;13.4;0.5;0.5;2.3;4.0;0.6;4.4;6.6;11.0;4.7;1.4;0.9;3.7;4.0;16.4;C;0.018;0.841;0.14;0.473;0.135;0.317;0.04;0.026;1.27;1.571;1.163;0.284;0.564;21.9
103;Donovan Mitchell;26.0;7.0;7.0;39.3;9.5;21.8;0.4;2.4;8.4;0.3;7.1;13.4;0.5;0.5;4.7;5.7;0.8;0.7;4.2;4.9;5.9;1.3;0.5;3.1;2.7;26.1;SG;0.276;0.544;0.18;0.664;0.15;0.125;0.033;0.013;1.903;0.7;1.197;0.261;0.697;22.3
104;Donte DiVincenzo;26.5;13.0;7.0;27.0;4.0;9.8;0.4;2.4;5.8;0.4;1.7;4.0;0.4;0.5;1.3;1.6;0.8;0.9;2.6;3.5;2.7;1.0;0.6;1.2;1.8;11.6;SG;0.621;0.293;0.112;0.43;0.1;0.13;0.037;0.022;2.25;0.269;1.184;0.163;0.433;12.1
105;Dorian Finney-Smith;28.5;11.0;11.0;31.8;3.2;7.2;0.4;2.2;5.2;0.4;1.0;2.1;0.5;0.6;0.4;0.6;0.4;1.6;3.4;5.0;1.4;0.8;0.4;1.2;2.4;9.0;PF;0.733;0.222;0.044;0.283;0.044;0.157;0.025;0.013;1.167;0.455;1.25;0.083;0.272;11.2
106;Doug McDermott;32.0;10.0;0.0;6.4;0.5;1.1;0.5;0.3;0.8;0.4;0.2;0.3;0.7;0.6;0.0;0.0;0.0;0.2;0.1;0.3;0.7;0.0;0.2;0.1;0.5;1.3;SF;0.692;0.308;0.0;0.203;0.109;0.047;0.0;0.031;7.0;0.03;1.182;0.0;0.188;1.8
107;Draymond Green;31.5;17.0;15.5;31.3;3.3;7.0;0.5;0.4;1.8;0.2;3.0;5.4;0.6;0.5;1.7;2.4;0.7;1.4;5.6;7.0;6.6;1.3;1.0;2.5;4.0;8.7;PF;0.138;0.69;0.195;0.278;0.211;0.224;0.042;0.032;2.64;0.412;1.243;0.343;0.337;17.7
108;Drew Eubanks;26.0;3.0;0.0;12.3;2.3;4.0;0.6;0.0;0.0;0.0;2.3;4.0;0.6;0.6;1.0;1.0;1.0;0.0;1.3;1.3;0.0;0.7;0.3;0.7;2.0;5.7;C;0.0;0.807;0.175;0.463;0.0;0.106;0.057;0.024;0.0;0.433;1.425;0.25;0.418;5.6
109;Duncan Robinson;28.0;13.7;0.3;14.1;2.1;4.8;0.4;1.4;3.7;0.4;0.7;1.1;0.6;0.5;0.2;0.3;0.6;0.1;1.3;1.4;1.1;0.3;0.1;0.7;1.5;5.7;SG;0.737;0.246;0.035;0.404;0.078;0.099;0.021;0.007;1.571;0.102;1.188;0.062;0.399;5.1
110;Dwight Powell;31.0;15.5;9.0;8.6;0.6;1.0;0.5;0.0;0.0;0.0;0.6;1.0;0.5;0.5;0.6;0.9;0.6;0.6;1.2;1.8;0.2;0.2;0.2;0.4;1.5;1.8;C;0.0;0.667;0.333;0.209;0.023;0.209;0.023;0.023;0.5;0.116;1.8;0.9;0.209;3.1
111;Dyson Daniels;20.0;3.0;0.0;5.7;0.7;2.0;0.3;0.0;0.7;0.0;0.7;1.3;0.5;0.3;0.0;0.0;0.0;0.0;0.7;0.7;0.0;0.7;0.0;0.3;0.0;1.3;PG;0.0;1.077;0.0;0.228;0.0;0.123;0.123;0.0;0.0;0.233;0.65;0.0;0.404;1.1
112;E.J. Liddell;23.0;1.0;0.0;3.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;PF;0.0;0.0;0.0;0.333;0.0;0.333;0.0;0.0;0.0;1.0;1.0;0.0;0.667;0.0
113;Edmond Sumner;27.0;1.0;0.0;4.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;SG;0.0;0.0;0.0;0.25;0.25;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.5;0.0
114;Elfrid Payton;27.0;2.0;0.0;4.0;1.0;1.5;0.7;0.0;0.0;0.0;1.0;1.5;0.7;0.7;0.0;0.0;0.0;0.0;0.0;0.0;1.5;0.0;0.0;1.0;0.0;2.0;PG;0.0;1.0;0.0;0.5;0.375;0.0;0.0;0.0;1.5;0.0;1.333;0.0;0.625;2.0
115;Eric Gordon;34.5;4.5;2.5;29.6;3.0;7.9;0.4;1.9;5.0;0.4;1.0;2.9;0.4;0.5;1.4;1.6;0.9;0.2;1.4;1.6;2.0;1.0;0.4;0.9;1.8;9.1;SG;0.626;0.22;0.154;0.307;0.068;0.054;0.034;0.014;2.222;0.356;1.152;0.203;0.321;8.1
116;Eric Paschall;25.0;4.0;0.0;6.0;0.8;1.5;0.5;0.3;0.5;0.5;0.5;1.0;0.5;0.6;0.3;0.3;1.0;0.3;1.0;1.3;0.0;0.3;0.0;1.0;0.8;2.0;PF;0.45;0.5;0.15;0.333;0.0;0.217;0.05;0.0;0.0;0.325;1.333;0.2;0.439;1.9
117;Evan Mobley;21.5;8.5;8.5;36.4;5.6;10.9;0.5;0.2;0.8;0.1;5.4;10.0;0.5;0.5;1.6;2.3;0.7;2.8;6.9;9.6;2.2;0.7;1.7;2.1;2.7;12.9;PF;0.047;0.837;0.124;0.354;0.06;0.264;0.019;0.047;1.048;1.141;1.183;0.211;0.385;19.1
118;Facundo Campazzo;30.0;4.0;0.0;3.3;0.0;0.5;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.8;0.5;0.0;0.0;0.5;0.8;1.0;PG;0.0;0.0;0.0;0.303;0.152;0.242;0.0;0.0;1.0;0.2;2.0;0.0;0.303;1.3
119;Frank Ntilikina;23.0;12.0;0.0;10.4;0.7;2.0;0.3;0.5;1.7;0.3;0.2;0.3;0.5;0.5;0.1;0.1;1.0;0.2;0.8;1.0;0.8;0.7;0.1;0.5;1.6;1.9;PG;0.789;0.211;0.053;0.183;0.077;0.096;0.067;0.01;1.6;0.083;0.95;0.05;0.245;2.7
120;Franz Wagner;22.0;7.0;7.0;37.0;6.0;14.7;0.4;1.3;4.9;0.3;4.7;9.9;0.5;0.5;5.6;6.3;0.9;1.4;5.4;6.9;4.4;0.7;1.3;1.3;2.9;18.9;SF;0.206;0.497;0.296;0.511;0.119;0.186;0.019;0.035;3.385;0.971;1.286;0.429;0.507;21.4
121;Fred VanVleet;27.0;4.0;4.0;35.0;4.8;13.5;0.4;3.0;9.0;0.3;1.8;4.5;0.4;0.5;1.3;1.5;0.8;0.5;2.5;3.0;6.3;1.8;1.0;1.0;3.0;13.8;PG;0.652;0.261;0.094;0.394;0.18;0.086;0.051;0.029;6.3;0.75;1.022;0.111;0.433;16.0
122;Furkan Korkmaz;24.5;6.0;0.0;5.2;0.6;1.6;0.2;0.2;0.7;0.2;0.4;0.8;0.3;0.3;0.4;0.4;1.0;0.0;0.8;0.8;0.4;0.0;0.0;0.2;0.4;1.9;SG;0.316;0.421;0.211;0.365;0.077;0.154;0.0;0.0;2.0;0.133;1.187;0.25;0.38;1.9
123;Gabe Vincent;26.0;15.0;10.0;22.6;2.6;7.0;0.3;1.3;4.0;0.3;1.3;2.9;0.4;0.4;0.8;0.9;0.6;0.3;1.4;1.6;2.4;0.7;0.2;1.1;2.3;7.4;PG;0.527;0.351;0.108;0.327;0.106;0.071;0.031;0.009;2.182;0.113;1.057;0.129;0.376;6.8
124;Garrett Temple;35.0;1.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;SG;0.0;0.0;0.0;0.5;0.0;0.5;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0
125;Gary Harris;29.0;6.0;6.0;26.5;1.3;4.7;0.3;1.2;3.7;0.3;0.2;1.0;0.2;0.4;0.3;0.3;1.0;0.8;1.2;2.0;0.7;1.2;0.5;0.3;3.0;4.2;SG;0.857;0.095;0.071;0.158;0.026;0.075;0.045;0.019;2.333;0.333;0.894;0.064;0.194;4.9
126;Gary Payton II;29.5;12.0;2.5;16.4;2.7;4.1;0.7;0.5;1.3;0.4;2.2;2.8;0.8;0.7;0.8;1.2;0.7;1.5;1.9;3.4;1.0;1.0;0.6;0.7;1.8;6.6;PG;0.227;0.667;0.121;0.402;0.061;0.207;0.061;0.037;1.429;0.283;1.61;0.293;0.325;10.1
127;Gary Trent Jr.;23.0;6.0;6.0;33.2;5.2;13.7;0.4;2.2;6.5;0.3;3.0;7.2;0.4;0.5;2.8;3.2;0.9;0.2;1.5;1.7;1.3;1.0;0.5;0.5;1.8;15.3;SG;0.431;0.392;0.183;0.461;0.039;0.051;0.03;0.015;2.6;0.283;1.117;0.234;0.47;10.4
128;George Hill;35.0;5.0;0.0;15.2;0.2;1.0;0.2;0.2;0.4;0.5;0.0;0.6;0.0;0.3;0.4;0.4;1.0;0.2;1.0;1.2;0.6;0.0;0.0;0.2;2.0;1.0;SG;0.6;0.0;0.4;0.066;0.039;0.079;0.0;0.0;3.0;0.24;1.0;0.4;0.091;1.8
129;Georges Niang;29.0;11.0;0.0;14.3;1.4;3.8;0.4;0.9;2.8;0.3;0.5;1.0;0.6;0.5;0.3;0.3;0.6;0.2;0.8;1.0;0.5;0.2;0.1;0.6;1.9;4.0;PF;0.675;0.25;0.075;0.28;0.035;0.07;0.014;0.007;0.833;0.091;1.053;0.079;0.317;2.8
