Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
215;Omer Yurtseven;C;24;MIA;8;0;2;0.3;0.9;0.286;0;0.3;0;0.3;0.6;0.4;0.286;0;0;0;0.4;0.3;0.6;0.1;0;0.1;0.1;0.3;0.5
216;Cody Zeller;C;30;MIA;21;0;8.3;1;1.7;0.571;0;0;0;1;1.7;0.571;0.571;0.3;0.7;0.4;0.5;1.8;2.3;0.3;0.1;0.2;0.6;1.3;2.2
217;Ivica Zubac;C;25;LAC;5;5;26;3.4;6;0.567;0;0;0;3.4;6;0.567;0.567;2.4;3.2;0.75;3.2;6.4;9.6;0.6;0.6;0.2;2.2;1.6;9.2
1;Precious Achiuwa;PF;24;NYK;9;2;20.4;2.3;4.8;0.488;0;0.3;0;2.3;4.4;0.525;0.488;0.6;1.4;0.385;2.4;1.8;4.2;0.6;0.4;1.3;0.4;2.2;5.2
2;Bam Adebayo;C;26;MIA;5;5;38.4;9.6;19.4;0.495;0.4;2;0.2;9.2;17.4;0.529;0.505;3;4.2;0.714;2.2;7.2;9.4;3.8;0.4;0;1.6;3;22.6
3;Nickeil Alexander-Walker;SG;25;MIN;16;1;23.6;2.6;7;0.366;1.5;5.1;0.296;1.1;1.9;0.548;0.473;0.6;0.6;1;0.3;1.4;1.8;2.3;0.6;0.4;0.9;1.5;7.3
4;Grayson Allen;SG;28;PHO;2;2;21.5;0.5;2.5;0.2;0.5;2.5;0.2;0;0;0;0.3;2;2;1;1;3;4;1;0.5;0;1.5;2;3.5
5;Jarrett Allen;C;25;CLE;4;4;31.8;6.3;9.3;0.676;0;0;0;6.3;9.3;0.676;0.676;4.5;6.5;0.692;3.8;10;13.8;1.3;1.3;1;1.3;2;17
6;Jose Alvarado;PG;25;NOP;4;0;15.5;0.8;5;0.15;0.3;3.5;0.071;0.5;1.5;0.333;0.175;0;0;0;0;1;1;2.3;1.3;0.3;1;0.8;1.8
7;Kyle Anderson;PF;30;MIN;15;1;15.4;1.7;3.8;0.456;0.1;0.5;0.25;1.6;3.3;0.49;0.474;0.7;0.8;0.833;1.2;1.5;2.7;2.5;0.7;0.3;0.7;1.7;4.3
8;Thanasis Antetokounmpo;PF;31;MIL;2;0;2.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0.5;0;0.5;0
9;Cole Anthony;PG;23;ORL;7;0;14.7;1.9;5.9;0.317;0.3;1.9;0.154;1.6;4;0.393;0.341;1.1;1.3;0.889;0.3;1.9;2.1;1.3;0.6;0.1;0.7;2.3;5.1
10;OG Anunoby;SF;26;NYK;9;9;36;6.2;12.3;0.505;1.8;4.3;0.41;4.4;8;0.556;0.577;0.9;1.4;0.615;0.8;5.2;6;1.1;0.9;1;1.1;1.7;15.1
11;Paolo Banchero;PF;21;ORL;7;7;37.4;9.7;21.3;0.456;2.3;5.7;0.4;7.4;15.6;0.477;0.51;5.3;7;0.755;2;6.6;8.6;4;1.1;0.6;4.6;2;27
12;Nicolas Batum;PF;35;PHI;6;0;28.3;2;4.8;0.414;1.5;3.7;0.409;0.5;1.2;0.429;0.569;0.8;1.3;0.625;1.5;4.3;5.8;1.3;0.2;0.8;0.8;2.2;6.3
13;Bradley Beal;SG;30;PHO;4;4;38.5;6.5;14.8;0.441;2.5;5.8;0.435;4;9;0.444;0.525;1;1.3;0.8;1.5;1.3;2.8;4.5;0.8;0.3;3.3;3.8;16.5
14;Malik Beasley;SG;27;MIL;6;2;21.8;3.5;6.8;0.512;1.8;4.2;0.44;1.7;2.7;0.625;0.646;0;0;0;0.2;2.3;2.5;0.7;0.7;0;0.5;1.5;8.8
15;MarJon Beauchamp;SF;23;MIL;4;0;2.5;0.3;1;0.25;0;0.5;0;0.3;0.5;0.5;0.25;0.3;0.5;0.5;0;0.3;0.3;0.5;0;0;0.3;0.3;0.8
16;Patrick Beverley;PG;35;MIL;6;6;35;2.7;6.5;0.41;0.7;1.8;0.364;2;4.7;0.429;0.462;2.2;2.5;0.867;0.7;2.7;3.3;5.5;1;0.7;1;2.7;8.2
17;Goga Bitadze;C;24;ORL;2;0;5;0;1;0;0;0;0;0;1;0;0;0;0;0;0.5;1;1.5;1;0;0;0.5;0;0
18;Anthony Black;PG;20;ORL;2;0;5.5;1.5;3.5;0.429;0;1;0;1.5;2.5;0.6;0.429;0;0;0;0.5;0.5;1;1;0.5;0;0.5;0.5;3
19;Bojan Bogdanovi?;SF;34;NYK;4;0;12.8;1.8;6;0.292;1.5;3.8;0.4;0.3;2.3;0.111;0.417;1;1.8;0.571;0.3;2.8;3;1;0;0.3;0.3;0.8;6
20;Bol Bol;PF;24;PHO;3;0;4.3;0.3;1;0.333;0;0;0;0.3;1;0.333;0.333;0;0;0;0;1.3;1.3;0;0.3;0;0;0.7;0.7
21;Devin Booker;PG;27;PHO;4;4;41.5;8;16.3;0.492;1.8;5;0.35;6.3;11.3;0.556;0.546;9.8;10.3;0.951;0.3;3;3.3;6;1.8;0.3;2.8;4.5;27.5
22;Brandon Boston Jr.;SF;22;LAC;3;0;3.3;0.7;1.3;0.5;0;0;0;0.7;1.3;0.5;0.5;0.3;0.7;0.5;0.3;0.3;0.7;0.3;0;0;0;0.7;1.7
23;Christian Braun;SG;22;DEN;12;0;17;1.9;4.5;0.426;0.3;1.5;0.222;1.6;3;0.528;0.463;0.9;1.3;0.688;0.8;1.9;2.7;0.8;0.2;0.4;0.1;1.5;5.1
24;Oshae Brissett;SF;25;BOS;10;0;5.5;0.6;1.1;0.545;0.2;0.2;1;0.4;0.9;0.444;0.636;0.2;0.4;0.5;0.3;1.1;1.4;0;0.3;0.2;0.1;0.2;1.6
25;Jaylen Brown;SF;27;BOS;19;19;37.2;9.2;17.8;0.516;1.9;5.8;0.327;7.3;12.1;0.607;0.569;3.6;5.4;0.66;1.2;4.8;5.9;3.3;1.2;0.6;2.7;2.7;23.9
26;Kendall Brown;SG;20;IND;7;0;3.6;0.3;0.9;0.333;0;0;0;0.3;0.9;0.333;0.333;0;0;0;0;0.4;0.4;0.3;0;0.1;0.4;0.3;0.6
27;Kobe Brown;PF;24;LAC;3;0;3.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3;0.3;0.7;0;0;0;0;0.3;0
28;Jalen Brunson;PG;27;NYK;13;13;39.8;11.6;26.2;0.444;2;6.5;0.31;9.6;19.7;0.488;0.482;7.2;9.2;0.775;0.6;2.7;3.3;7.5;0.8;0.2;2.7;2;32.4
29;Thomas Bryant;C;26;MIA;2;0;9;2.5;3.5;0.714;0;1;0;2.5;2.5;1;0.714;1;1.5;0.667;1;1.5;2.5;0.5;0;0;1;0.5;6
30;Alec Burks;SG;32;NYK;6;0;20.2;4.2;8.3;0.5;2;4.7;0.429;2.2;3.7;0.591;0.62;4.5;5.3;0.844;0.7;2.7;3.3;1;0.2;0.2;0;1;14.8
31;Kentavious Caldwell-Pope;SG;30;DEN;12;12;35;2.8;7.2;0.395;1.5;4.6;0.327;1.3;2.6;0.516;0.5;0.9;0.9;1;0.4;2.5;2.9;2.6;1.4;0.4;0.8;3.1;8.1
32;Wendell Carter Jr.;C;24;ORL;7;5;26.4;2.7;6.7;0.404;1;3.6;0.28;1.7;3.1;0.545;0.479;1.1;1.6;0.727;1.3;5;6.3;1.3;0.7;0.6;0.7;2.9;7.6
33;Amir Coffey;SF;26;LAC;6;3;18.7;1.2;3.7;0.318;0.5;1.8;0.273;0.7;1.8;0.364;0.386;0;0;0;0.3;1.3;1.7;0.3;0.3;0.2;0.8;1;2.8
34;Mike Conley;PG;36;MIN;15;15;31.6;4.1;9.7;0.428;2;5.1;0.395;2.1;4.6;0.464;0.531;1.3;1.9;0.714;0.7;3.2;3.9;5.7;1.4;0.2;1.3;2.5;11.6
35;Pat Connaughton;SF;31;MIL;6;0;20.7;1.8;4.2;0.44;0.5;1.8;0.273;1.3;2.3;0.571;0.5;0.3;0.3;1;0.5;3.3;3.8;2.2;1;0.2;0.5;1;4.5
36;Jae Crowder;PF;33;MIL;4;0;10.5;0.8;3;0.25;0.3;1.8;0.143;0.5;1.3;0.4;0.292;0.5;0.5;1;0.5;1;1.5;0.5;0;0.5;0;1;2.3
37;Dyson Daniels;PG;20;NOP;3;0;5.7;0.7;2;0.333;0;0.7;0;0.7;1.3;0.5;0.333;0;0;0;0;0.7;0.7;0;0.7;0;0.3;0;1.3
38;Anthony Davis;C;30;LAL;5;5;41.6;11.8;18.6;0.634;0;1;0;11.8;17.6;0.67;0.634;4.2;5.2;0.808;3;12.6;15.6;4;0.4;1.6;2.2;3.8;27.8
39;Mamadi Diakite;PF;27;NYK;4;0;3.8;0;0.8;0;0;0.5;0;0;0.3;0;0;0.5;0.5;1;0;0.8;0.8;0.3;0.3;0.3;0.3;0.8;0.5
40;Ousmane Dieng;PF;20;OKC;4;0;1.8;0.3;0.5;0.5;0;0.3;0;0.3;0.3;1;0.5;0;0;0;0;0;0;0;0;0;0;0;0.5
41;Spencer Dinwiddie;PG;30;LAL;5;0;14.6;1;2.8;0.357;0.4;1.6;0.25;0.6;1.2;0.5;0.429;0.6;1.2;0.5;0.2;1.2;1.4;1.6;0.4;0.2;0.2;1.4;3
42;Donte DiVincenzo;SG;27;NYK;13;13;35.8;6.2;14.7;0.419;3.5;8.2;0.425;2.7;6.5;0.412;0.537;2;2.3;0.867;1;3;4;2.6;1.2;0.9;1.2;2.2;17.8
43;Luka Don?i?;PG;24;DAL;22;22;40.9;10.2;22.9;0.446;3.1;9.6;0.322;7.1;13.3;0.536;0.514;5.3;7;0.765;0.7;8.7;9.5;8.1;1.9;0.4;4.1;2.5;28.9
44;Luguentz Dort;SF;24;OKC;10;10;35;3.3;9.1;0.363;2.5;6.4;0.391;0.8;2.7;0.296;0.5;1.6;1.9;0.842;1.9;2.7;4.6;2;1.3;0.2;1.1;4.2;10.7
45;Kevin Durant;PF;35;PHO;4;4;42;9.3;16.8;0.552;1.3;3;0.417;8;13.8;0.582;0.59;7;8.5;0.824;0.3;6.3;6.5;3.3;0.5;1.5;2.5;2;26.8
46;Anthony Edwards;SG;22;MIN;16;16;40.6;9.8;20.3;0.481;2.9;7.2;0.4;6.9;13.1;0.526;0.552;5.2;6.4;0.814;1.1;5.9;7;6.5;1.5;0.6;3.3;2.3;27.6
47;Joel Embiid;C;29;PHI;6;6;41.3;9.8;22.2;0.444;2.2;6.5;0.333;7.7;15.7;0.489;0.492;11.2;13;0.859;3.2;7.7;10.8;5.7;1.2;1.5;4.2;3.3;33
48;Drew Eubanks;C;26;PHO;3;0;12.3;2.3;4;0.583;0;0;0;2.3;4;0.583;0.583;1;1;1;0;1.3;1.3;0;0.7;0.3;0.7;2;5.7
49;Dante Exum;PG;28;DAL;21;0;6.9;0.8;2.1;0.364;0.3;1;0.35;0.4;1.1;0.375;0.443;0.2;0.3;0.667;0.1;0.7;0.8;0.6;0.1;0;0.2;0.4;2
50;Markelle Fultz;PG;25;ORL;7;0;15.1;2.9;4.9;0.588;0;0.1;0;2.9;4.7;0.606;0.588;0.7;1.3;0.556;1;1;2;1.1;0.4;0;1.1;1.7;6.4
51;Daniel Gafford;PF;25;DAL;22;22;20.2;3.5;5.6;0.634;0;0;0;3.5;5.6;0.634;0.634;1.9;3;0.631;1.9;3.6;5.5;0.7;0.3;1.5;0.9;1.7;9
52;Danilo Gallinari;SF;35;MIL;3;0;12.3;1.3;2.7;0.5;0;0.7;0;1.3;2;0.667;0.5;1;1.3;0.75;0.3;2.7;3;0.7;0;0;0.3;0;3.7
53;Darius Garland;PG;24;CLE;12;12;36;6.1;14.3;0.427;2.1;5.9;0.352;4;8.3;0.48;0.5;1.4;1.8;0.81;0.1;3.5;3.6;5.8;1.1;0.2;2.3;2.8;15.7
54;Luka Garza;C;25;MIN;7;0;3.7;1.4;1.7;0.833;0.3;0.4;0.667;1.1;1.3;0.889;0.917;1;1.1;0.875;0.3;0.6;0.9;0.1;0;0;0;0;4.1
55;Paul George;PF;33;LAC;6;6;37;6.5;15.8;0.411;3;8.2;0.367;3.5;7.7;0.457;0.505;3.5;4.2;0.84;0.5;6.3;6.8;4.8;1.2;0.5;2.3;3.7;19.5
56;Josh Giddey;SG;21;OKC;10;8;18.1;3.4;7.5;0.453;1.2;3.4;0.353;2.2;4.1;0.537;0.533;0.7;0.8;0.875;0.7;2.9;3.6;2.1;0.2;0.4;1.2;0.9;8.7
57;Shai Gilgeous-Alexander;PG;25;OKC;10;10;39.9;11.1;22.4;0.496;1.6;3.7;0.432;9.5;18.7;0.508;0.531;6.4;8.1;0.79;0.8;6.4;7.2;6.4;1.3;1.7;2.2;3.1;30.2
58;Rudy Gobert;C;31;MIN;15;15;34.1;4.3;6.9;0.615;0;0;0;4.3;6.9;0.615;0.615;3.5;5.3;0.671;2.7;7.1;9.8;1.6;0.9;1;1.5;3.7;12.1
59;Aaron Gordon;PF;28;DEN;12;12;37.1;5.8;9.8;0.585;0.9;2.3;0.407;4.8;7.6;0.637;0.631;1.9;2.3;0.821;3;4.3;7.3;4.4;0.8;0.6;1.5;2.3;14.3
60;Eric Gordon;SG;35;PHO;4;0;29.5;2.3;7;0.321;1.8;4.3;0.412;0.5;2.8;0.182;0.446;1.8;2;0.875;0.3;1.5;1.8;1.3;1.3;0.5;1;1.3;8
61;A.J. Green;SG;24;MIL;6;0;11.2;1;2.7;0.375;0.3;1.8;0.182;0.7;0.8;0.8;0.438;0.5;0.5;1;0;1.5;1.5;0.3;0;0;0.2;1.5;2.8
62;Josh Green;SG;23;DAL;22;0;18.1;1.6;3.9;0.424;1;2.7;0.39;0.6;1.2;0.5;0.559;0.6;0.9;0.737;1;1.6;2.5;1;0.8;0.1;0.3;1.3;5
63;Rui Hachimura;PF;25;LAL;5;5;30.4;3;7.6;0.395;1;2.8;0.357;2;4.8;0.417;0.461;0.8;1.6;0.5;1.2;2.6;3.8;0.8;0;0;0.4;1.6;7.8
64;Tyrese Haliburton;PG;23;IND;15;15;34.8;7;14.3;0.488;3.5;9.3;0.379;3.5;5;0.693;0.612;1.1;1.3;0.85;0.8;4;4.8;8.2;1.3;0.7;2.1;0.9;18.7
65;Tim Hardaway Jr.;SF;31;DAL;14;0;12.7;1.6;4.1;0.379;0.9;2.6;0.351;0.6;1.5;0.429;0.491;0.3;0.6;0.5;0.1;1.6;1.8;0.4;0.4;0.1;0.1;0.7;4.4
66;James Harden;PG;34;LAC;6;6;40.3;6.7;14.8;0.449;3;7.8;0.383;3.7;7;0.524;0.551;4.8;5.3;0.906;0.5;4;4.5;8;1;1;2.3;2.2;21.2
67;Jaden Hardy;SG;21;DAL;19;0;6.8;1.5;3.6;0.426;0.6;1.4;0.407;0.9;2.2;0.439;0.507;0.6;0.8;0.733;0.1;0.7;0.8;0.9;0.2;0;0.4;0.7;4.2
68;Gary Harris;SG;29;ORL;6;6;26.5;1.3;4.7;0.286;1.2;3.7;0.318;0.2;1;0.167;0.411;0.3;0.3;1;0.8;1.2;2;0.7;1.2;0.5;0.3;3;4.2
69;Tobias Harris;PF;31;PHI;6;6;36.3;3.7;8.5;0.431;1;3;0.333;2.7;5.5;0.485;0.49;0.7;0.7;1;1.5;5.7;7.2;1.5;0.2;0.5;0.5;1.8;9
70;Josh Hart;SF;28;NYK;13;13;42.2;5.1;11.5;0.44;1.7;4.5;0.373;3.4;7;0.484;0.513;2.7;3.7;0.729;2.8;8.7;11.5;4.5;1;0.8;2.6;3.2;14.5
71;Isaiah Hartenstein;C;25;NYK;13;13;29.8;3.5;5.8;0.592;0.1;0.2;0.5;3.4;5.7;0.595;0.599;1.5;1.7;0.864;3.8;4.1;7.8;3.5;0.3;0.9;1.5;3.2;8.5
72;Sam Hauser;SF;26;BOS;19;0;14.9;1.9;4.4;0.429;1.4;3.7;0.38;0.5;0.7;0.692;0.589;0.2;0.2;1;0.4;1.7;2.2;0.6;0.3;0.2;0.2;1.1;5.4
73;Jordan Hawkins;SG;21;NOP;3;0;4;0;1.3;0;0;1;0;0;0.3;0;0;0;0;0;0;0.7;0.7;0;0;0;0;0.3;0
74;Jaxson Hayes;C;23;LAL;4;0;6;0;0.5;0;0;0;0;0;0.5;0;0;0.3;0.5;0.5;0.8;2.3;3;0.3;0;0;0.5;1.8;0.3
75;Gordon Hayward;SF;33;OKC;7;0;6.6;0;0.4;0;0;0;0;0;0.4;0;0;0;0;0;0.1;1.7;1.9;0.4;0.1;0.1;0;0.3;0
76;Tyler Herro;SG;24;MIA;5;5;37;6;15.6;0.385;3;8.6;0.349;3;7;0.429;0.481;1.8;2;0.9;0;3.6;3.6;5.4;0.4;0;2.8;2;16.8
77;Buddy Hield;SG;31;PHI;4;0;12.8;1.8;4.3;0.412;1.5;3.3;0.462;0.3;1;0.25;0.588;0.5;0.5;1;0.5;0.8;1.3;0.5;0;0.3;0.5;1;5.5
78;Haywood Highsmith;PF;27;MIA;5;0;25.2;2;5.6;0.357;0.6;3.2;0.188;1.4;2.4;0.583;0.411;0.2;0.2;1;0.4;2.4;2.8;1.6;0.2;0.2;0.8;2.8;4.8
79;Jrue Holiday;PG;33;BOS;19;19;37.9;5.1;10.2;0.503;1.8;4.6;0.402;3.3;5.6;0.585;0.593;1.1;1.2;0.955;1.9;4.2;6.1;4.4;1.1;0.6;1.5;2.1;13.2
80;Justin Holiday;SG;34;DEN;12;0;12.5;0.9;2.9;0.314;0.9;2.4;0.379;0;0.5;0;0.471;0.2;0.3;0.5;0.1;1.6;1.7;0.3;0.5;0;0.3;1.3;2.9
81;Chet Holmgren;C;21;OKC;10;10;34.5;5.9;11.9;0.496;1.3;5;0.26;4.6;6.9;0.667;0.55;2.5;3.3;0.758;1.4;5.8;7.2;2.1;0.7;2.5;1.9;2.6;15.6
82;Al Horford;C;37;BOS;19;15;30.3;3.5;7.3;0.478;1.8;5;0.368;1.6;2.3;0.721;0.605;0.4;0.6;0.636;1.8;5.2;7;2.1;0.8;0.8;0.6;1.5;9.2
83;Caleb Houstan;SF;21;ORL;3;0;4.7;0.3;0.7;0.5;0.3;0.7;0.5;0;0;0;0.75;0;0;0;0.3;0.3;0.7;0;0;0;0;0;1
84;Jett Howard;SF;20;ORL;2;0;5;1;1.5;0.667;0.5;0.5;1;0.5;1;0.5;0.833;0;0;0;0;0.5;0.5;0.5;0;0;1;0.5;2.5
85;Bones Hyland;PG;23;LAC;3;0;4;1;2.3;0.429;0.3;1.7;0.2;0.7;0.7;1;0.5;1.3;1.3;1;0;0.7;0.7;1.3;0;0;0.3;0;3.7
86;Joe Ingles;SF;36;ORL;7;0;9.7;0.6;1.7;0.333;0.3;1;0.286;0.3;0.7;0.4;0.417;0.1;0.3;0.5;0.3;1.6;1.9;1.7;0.4;0;0;0.4;1.6
87;Brandon Ingram;SF;26;NOP;4;4;36.3;4.8;13.8;0.345;0.5;2;0.25;4.3;11.8;0.362;0.364;4.3;4.8;0.895;0.3;4.3;4.5;3.3;1;1.3;2.3;2;14.3
88;Kyrie Irving;SG;31;DAL;22;22;40;8.5;18.1;0.467;2.4;6.2;0.39;6;11.9;0.508;0.534;2.8;3.3;0.849;1;2.7;3.7;5.1;1;0.3;2.3;2.8;22.1
89;Jonathan Isaac;PF;26;ORL;7;3;21;2.3;5.6;0.41;1.4;3.9;0.37;0.9;1.7;0.5;0.538;0.3;0.3;1;1.4;3.4;4.9;0.4;0.7;1.3;0.6;1;6.3
90;Andre Jackson Jr.;SG;22;MIL;5;0;12;1;2.2;0.455;0.4;1.2;0.333;0.6;1;0.6;0.545;0;0;0;1;1.2;2.2;2;1;0.2;0.6;2;2.4
91;Isaiah Jackson;C;22;IND;15;0;10.3;1.5;2.9;0.535;0;0;0;1.5;2.9;0.535;0.535;0.7;1.2;0.611;1.4;1.8;3.2;0.5;0.2;0.9;0.3;1.6;3.8
92;Reggie Jackson;PG;33;DEN;12;0;9.8;1.3;4;0.333;0.7;1.9;0.348;0.7;2.1;0.32;0.417;0.2;0.2;1;0.2;1.1;1.3;1;0.2;0.1;0.7;1;3.5
93;LeBron James;PF;39;LAL;5;5;40.8;11.2;19.8;0.566;2;5.2;0.385;9.2;14.6;0.63;0.616;3.4;4.6;0.739;0.8;6;6.8;8.8;2.4;1;3.8;2.2;27.8
94;Jaime Jaquez Jr.;SF;22;MIA;4;4;30.8;5.3;13;0.404;0.8;3.3;0.231;4.5;9.8;0.462;0.433;1.5;1.8;0.857;0.5;2.8;3.3;3;0.8;0.5;1.8;1.5;12.8
95;DaQuan Jeffries;SG;26;NYK;4;0;5;0.8;2;0.375;0.5;1.3;0.4;0.3;0.8;0.333;0.5;0;0;0;0.3;0.8;1;0;0.3;0;0;0.5;2
96;Isaiah Joe;SG;24;OKC;10;2;17.3;2.4;5.4;0.444;1.6;3.9;0.41;0.8;1.5;0.533;0.593;0;0;0;0.4;1.8;2.2;1;0.5;0;0.5;1;6.4
97;James Johnson;PF;36;IND;1;0;1;0;0;0;0;0;0;0;0;0;0;1;2;0.5;0;0;0;0;0;0;1;0;1
98;Nikola Joki?;C;28;DEN;12;12;40.2;11.1;20.3;0.545;1.2;4.4;0.264;9.9;15.9;0.623;0.574;5.3;5.9;0.901;3.6;9.8;13.4;8.7;1.4;0.7;3.3;2.7;28.7
99;Damian Jones;C;28;CLE;2;0;4.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0.5;1;1;0;0.5;1;0;0
100;Derrick Jones Jr.;SF;26;DAL;22;22;29.4;3.5;7.3;0.481;1.1;3;0.369;2.4;4.3;0.558;0.556;1;1.4;0.733;1.5;2;3.5;1.2;0.5;1;0.8;2.5;9.1
101;Herbert Jones;SF;25;NOP;4;4;35.3;4;10.3;0.39;2;6;0.333;2;4.3;0.471;0.488;3;3;1;1.5;3.5;5;2.5;1.3;0.3;2.8;3.8;13
102;DeAndre Jordan;C;35;DEN;2;0;6.5;0.5;1;0.5;0;0;0;0.5;1;0.5;0.5;1;1;1;0.5;1;1.5;0;0.5;0.5;0;2;2
103;Nikola Jovi?;PF;20;MIA;5;5;25.6;3.2;7.2;0.444;1.8;4.4;0.409;1.4;2.8;0.5;0.569;1.2;1.4;0.857;0.4;6.2;6.6;2.2;1;0.6;1.2;1.8;9.4
104;Maxi Kleber;C;32;DAL;13;0;16.8;1.2;3;0.41;0.9;2.2;0.429;0.3;0.8;0.364;0.564;0.3;0.5;0.667;0.3;1.6;1.9;1;0.2;0.3;0.4;1.5;3.7
